control,ano,quantidade_kilo
tintas_moscato_de_hamburgo,2020,63474
brancas,2020,45610
brancaserosadas_cardinal,2020,0
brancaserosadas_golden_queen,2020,0
brancaserosadas_patricia,2020,0
brancaserosadas_perlona,2020,0
brancaserosadas_italia,2020,0
"brancaserosadas_rubi_italia,_italia_ro",2020,45610
tintas,2021,21732
tintas_alphonse_lavallee,2021,0
tintas_moscato_de_hamburgo,2021,21732
brancas,2021,52760
brancaserosadas_cardinal,2021,0
brancaserosadas_golden_queen,2021,0
brancaserosadas_patricia,2021,0
brancaserosadas_perlona,2021,1710
brancaserosadas_italia,2021,0
"brancaserosadas_rubi_italia,_italia_ro",2021,51050
tintas,2022,*
tintas_alphonse_lavallee,2022,*
tintas_moscato_de_hamburgo,2022,*
brancas,2022,*
brancaserosadas_cardinal,2022,*
brancaserosadas_golden_queen,2022,*
brancaserosadas_patricia,2022,*
brancaserosadas_perlona,2022,*
brancaserosadas_italia,2022,*
"brancaserosadas_rubi_italia,_italia_ro",2022,*
