control,ano,quantidade_kilo
tintas_brs_rubea,1977,0
tintas_brsvioleta,1977,0
tintas_brs_vitoria,1977,0
tintas_champagnon_champanheta,1977,0
tintas_colecoes,1977,0
tintas_concord,1977,7387125
tintas_concordclone30,1977,0
tintas_couderc,1977,4214237
tintas_cynthiana_1,1977,738472
tintas_herbemont,1977,53226940
tintas_iac138022,1977,0
tintas_isabel,1977,175906184
tintas_isabelprecoce,1977,0
tintas_jacquez,1977,681039
tintas_kyoko,1977,0
tintas_landot,1977,62198
tintas_mistura_de_uvas_americanas_tinto,1977,0
tintas_oberlin,1977,22059
tintas_othello,1977,46765
tintas_paco,1977,0
tintas_patricia,1977,0
tintas_seibel,1977,11772470
tintas_seibel2_seibeleto,1977,0
tintas_seyvewillard_tinta,1977,0
tintas_vênus,1977,0
brancaserosadas,1977,2587615
brancaserosadas_baco,1977,13095
brancaserosadas_bokay,1977,0
brancaserosadas_brsclara,1977,0
brancaserosadas_brslorena,1977,0
brancaserosadas_couderc13,1977,0
brancaserosadas_delaware,1977,0
brancaserosadas_donazilla,1977,0
brancaserosadas_dutchess,1977,0
brancaserosadas_goethe,1977,20404
brancaserosadas_iac,1977,0
brancaserosadas_juliana,1977,0
brancaserosadas_martha,1977,921
brancaserosadas_mistura_de_uvas_americanas,1977,0
brancaserosadas_moscatoembrapa,1977,0
brancaserosadas_niagara,1977,2468965
brancaserosadas_niagarabranca,1977,0
brancaserosadas_niagararosada,1977,0
brancaserosadas_poloske,1977,0
brancaserosadas_selecoes,1977,0
brancaserosadas_seyvevillard,1977,84230
brancaserosadas_seyvevillard5276,1977,0
brancaserosadas_seyvevillard12375,1977,0
brancaserosadas_tardiadecaxias,1977,0
brancaserosadas_outras,1977,0
tintas,1978,295012354
tintas_bacarina,1978,0
tintas_bailey,1978,0
tintas_bordo,1978,22247163
tintas_bourdin_s,1978,0
tintas_brscarmen,1978,0
tintas_brscora,1978,0
tintas_brs_magna,1978,0
tintas_brs_margot,1978,0
tintas_brsmorena,1978,0
tintas_brs_rubea,1978,0
tintas_brsvioleta,1978,0
tintas_brs_vitoria,1978,0
tintas_champagnon_champanheta,1978,0
tintas_colecoes,1978,0
tintas_concord,1978,8520060
tintas_concordclone30,1978,0
tintas_couderc,1978,4406881
tintas_cynthiana_1,1978,491780
tintas_herbemont,1978,46594020
tintas_iac138022,1978,0
tintas_isabel,1978,202315021
tintas_isabelprecoce,1978,0
tintas_jacquez,1978,578872
tintas_kyoko,1978,0
tintas_landot,1978,44974
tintas_mistura_de_uvas_americanas_tinto,1978,0
tintas_oberlin,1978,13670
tintas_othello,1978,59623
tintas_paco,1978,0
tintas_patricia,1978,0
tintas_seibel,1978,9740290
tintas_seibel2_seibeleto,1978,0
tintas_seyvewillard_tinta,1978,0
tintas_vênus,1978,0
brancaserosadas,1978,3780127
brancaserosadas_baco,1978,0
brancaserosadas_bokay,1978,0
brancaserosadas_brsclara,1978,0
brancaserosadas_brslorena,1978,0
brancaserosadas_couderc13,1978,0
brancaserosadas_delaware,1978,0
brancaserosadas_donazilla,1978,0
brancaserosadas_dutchess,1978,0
brancaserosadas_goethe,1978,347450
brancaserosadas_iac,1978,0
brancaserosadas_juliana,1978,0
brancaserosadas_martha,1978,10749
brancaserosadas_mistura_de_uvas_americanas,1978,0
